Comment,Designator,Footprint,LCSC,Quantity
0,R10,R_0402_1005Metric,C17168,1
0.1u,C25,C_0402_1005Metric,C1525,1
100n,"C11,C12,C13,C14,C15,C16,C17,C18,C2,C20,C21,C23,C8",C_0402_1005Metric,C1525,13
10k,"R15,R16",R_0402_1005Metric,C25744,2
10u,"C1,C19,C5",C_0805_2012Metric,C15850,3
15p,"C3,C4",C_0402_1005Metric,C7467172,2
1k,"R2,R4,R6",R_0402_1005Metric,C11702,3
220,R25,R_0603_1608Metric,C22962,1
27,"R7,R8",R_0402_1005Metric,C25100,2
3.3u,L1,L_pol_2016,C42411119,1
33,R3,R_0402_1005Metric,C25105,1
330,"R21,R22",R_0402_1005Metric,C25104,2
33k,"R14,R18",R_0402_1005Metric,C25744,2
4.7u,"C10,C6,C7,C9",C_0402_1005Metric,C23733,4
47k,"R17,R19",R_0402_1005Metric,C25792,2
47u,C24,C_0805_2012Metric,C16780,1
56k,"R23,R24",R_0402_1005Metric,C2906875,2
5k1,"R12,R5",R_0402_1005Metric,C25905,2
680,R20,R_0402_1005Metric,C25130,1
ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,1
BTN_BACK,SW8,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,C2837532,1
BTN_DOWN,SW6,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,C2837532,1
BTN_LEFT,SW3,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,C2837532,1
BTN_MDL,SW10,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,C2837532,1
BTN_OK,SW5,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,C2837532,1
BTN_RIGHT,SW7,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,C2837532,1
BTN_SYS,SW9,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,C2837532,1
BTN_UP,SW4,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,C2837532,1
FSUSB42MUX,U5,MSOP-10_3x3mm_P0.5mm,C11355,1
LED,D1,LED_0603_1608Metric,C7496818,1
MIC2026-1xM,U6,SOIC-8_3.9x4.9mm_P1.27mm,C144190,1
Module_Bay,J7,PinHeader_1x08_P2.54mm_Vertical,C19184340,1
NCP1117-3.3_SOT223,U2,SOT-223-3_TabPin2,C88234,1
RP2350_80QFN,U1,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,C42415655,1
SW_Push,"SW1,SW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,C2910644,2
USB_A,J8,USB_A_Connfly_DS1095,C456018,1
USB_C_Receptacle_USB2.0_14P,"J5,J6",USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2988369,2
W25Q128JVS,U3,SOIC-8_5.23x5.23mm_P1.27mm,C97521,1
~,DS1,Waveshare 1.54in OLED,,1
SM03B-SRSS-TB,J4,PinHeader_1x03_P2.54mm_Vertical,,1
DNF,R1,R_0402_1005Metric,,1
MountingHole,H2,MountingHole_2.7mm_M2.5,,1
MountingHole,H3,MountingHole_2.7mm_M2.5,,1
MountingHole,H1,MountingHole_2.7mm_M2.5,,1
MountingHole,H4,MountingHole_2.7mm_M2.5,,1
DNF,R9,R_0402_1005Metric,,1
DNF,U4,SOIC-8_5.23x5.23mm_P1.27mm,,1
DNF,R11,R_0402_1005Metric,,1
DNF,R13,R_0402_1005Metric,,1
DNF,C22,C_0402_1005Metric,,1
ADC_Breakout,J9,PinHeader_2x09_P2.54mm_Vertical,,1
Conn_02x06_Odd_Even,J1,PinSocket_2x06_P2.54mm_Vertical,,1
Internal unused GPIO Breakout,J10,PinHeader_2x03_P1.27mm_Vertical,,1
