Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,12.4333,21.6664,0.0,top
C10,4.7u,C_0402_1005Metric,1.4,-8.3,-90.0,top
C11,100n,C_0402_1005Metric,8.0,0.5,0.0,top
C12,100n,C_0402_1005Metric,-1.0,8.8,90.0,top
C13,100n,C_0402_1005Metric,-1.3,-8.3,-90.0,top
C14,100n,C_0402_1005Metric,-5.8,8.1,180.0,top
C15,100n,C_0402_1005Metric,-8.0,2.9,180.0,top
C16,100n,C_0402_1005Metric,8.005,-0.5,0.0,top
C17,100n,C_0402_1005Metric,-8.0,-2.2,180.0,top
C18,100n,C_0402_1005Metric,7.5,-4.5,0.0,top
C19,10u,C_0805_2012Metric,-8.0578,-9.052,90.0,top
C2,100n,C_0402_1005Metric,-3.815,17.17,180.0,top
C20,100n,C_0402_1005Metric,7.1,4.3,0.0,top
C21,100n,C_0402_1005Metric,-4.7,-6.7,180.0,top
C23,100n,C_0402_1005Metric,-6.466,23.0498,180.0,top
C24,47u,C_0805_2012Metric,-34.6466,-31.4476,-90.0,top
C25,0.1u,C_0402_1005Metric,-36.6798,-31.676,-90.0,top
C3,15p,C_0402_1005Metric,-1.375,-10.42,180.0,top
C4,15p,C_0402_1005Metric,1.595,-10.42,0.0,top
C5,10u,C_0805_2012Metric,7.625,10.2,0.0,top
C6,4.7u,C_0402_1005Metric_small_pads,3.0,6.05,0.0,top
C7,4.7u,C_0402_1005Metric_small_pads,3.0,7.0,0.0,top
C8,100n,C_0402_1005Metric,-8.0,0.2,180.0,top
C9,4.7u,C_0402_1005Metric,5.2,6.5,-90.0,top
D1,LED,LED_0603_1608Metric,14.355,-39.005,180.0,top
J1,Conn_02x06_Odd_Even,PinSocket_2x06_P2.54mm_Vertical,-24.86,27.105,90.0,top
J10,Internal unused GPIO Breakout,PinHeader_2x03_P1.27mm_Vertical,-13.84,-10.295,180.0,top
J5,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,0.0922,27.0364,180.0,top
J6,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,-37.0936,12.9634,-90.0,top
J7,Module_Bay,PinHeader_1x08_P2.54mm_Vertical,-39.2902,-26.7666,270.0,top
J8,USB_A,USB_A_Connfly_DS1095,-31.1062,-0.7918,-90.0,top
J9,ADC_Breakout,PinHeader_2x09_P2.54mm_Vertical,15.835,-2.385,0.0,top
L1,3.3u,L_pol_2016,3.0,8.65,0.0,top
R10,0,R_0402_1005Metric,-11.4,17.2,0.0,top
R12,5k1,R_0402_1005Metric,-6.7008,27.6566,180.0,top
R14,33k,R_0402_1005Metric,-22.1032,6.965,90.0,top
R15,10k,R_0402_1005Metric,-16.745,13.505,180.0,top
R16,10k,R_0402_1005Metric,-16.78,11.915,180.0,top
R17,47k,R_0402_1005Metric,-20.9836,6.9718,90.0,top
R18,33k,R_0402_1005Metric,-22.0016,17.1738,-90.0,top
R19,47k,R_0402_1005Metric,-20.7724,17.1762,-90.0,top
R2,1k,R_0402_1005Metric,0.2,-8.305,-90.0,top
R20,680,R_0402_1005Metric,-35.2276,-35.0974,90.0,top
R21,330,R_0402_1005Metric,-34.9136,-27.907,0.0,top
R22,330,R_0402_1005Metric,-35.0068,-25.4834,0.0,top
R23,56k,R_0402_1005Metric,-36.1284,19.7778,180.0,top
R24,56k,R_0402_1005Metric,-36.13,21.6122,180.0,top
R25,220,R_0603_1608Metric,11.155,-38.985,0.0,top
R3,33,R_0402_1005Metric,5.2,8.35,-90.0,top
R4,1k,R_0402_1005Metric,15.1766,-34.9868,-90.0,top
R5,5k1,R_0402_1005Metric,-6.7108,26.5054,180.0,top
R6,1k,R_0402_1005Metric,-11.4,18.6,0.0,top
R7,27,R_0402_1005Metric,0.0,8.8,-90.0,top
R8,27,R_0402_1005Metric,1.0,8.8,-90.0,top
SW1,SW_Push,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,-14.1848,26.1716,-90.0,top
